leaf,current_levels,bloom_levels,practical_max,distribution_for_100
cartographic_symbol_recognition,U,"R,U,Ap,An,E",5,"20,20,20,20,20"
map_text_detection_recognition_grouping,"Ap,An","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
map_label_feature_anchoring,"An,E","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
dense_land_cover_labeling,"Ap,An","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
remote_sensing_scene_classification,U,"R,U,Ap,An,E",5,"20,20,20,20,20"
object_presence_counting,"Ap,An","R,U,Ap,An,E",5,"20,20,20,20,20"
change_localization,"An,C","U,Ap,An,E,C",5,"20,20,20,20,20"
temporal_scene_matching,"An,E","U,Ap,An,E,C",5,"20,20,20,20,20"
visual_geolocation,"An,E","R,U,Ap,An,E",5,"20,20,20,20,20"
coordinate_transformation,Ap,"R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
metric_distance_computation,Ap,"R,U,Ap,An,E",5,"20,20,20,20,20"
topological_directional_reasoning,An,"R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
spatial_graph_construction,"Ap,An,C","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
shortest_path_optimization,"Ap,An,E","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
isochrone_service_area,"Ap,An,C","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
toponym_recognition,"U,Ap","R,U,Ap,An,E",5,"20,20,20,20,20"
geo_entity_typing,U,"R,U,Ap,An,E",5,"20,20,20,20,20"
textual_spatial_relation_extraction,An,"R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
cross_entity_comparison,"Ap,An","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
environmental_layer_identification,"U,An","R,U,Ap,An,E",5,"20,20,20,20,20"
population_density_estimation,"R,Ap","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
geologic_geomorphic_interpretation,"U,An","R,U,Ap,An,E,C",6,"17,17,17,17,16,16"
geographic_fact_reasoning,"R,U,An","R,U,Ap,An,E",5,"20,20,20,20,20"
